Ticker,Name,Exchange,Sector,Market,Currency,Address
20MICRONS.NS,20 Microns Limited,NSI,Basic Materials,in_market,INR,"347, GIDC Industrial Estate, Vadodara, 391760, India"
21STCENMGM.NS,Twentyfirst Century Management Services Limited,NSI,Financial Services,in_market,INR,"Grease House, Mumbai, 400015, India"
360ONE.NS,360 One Wam Limited,NSI,Financial Services,in_market,INR,"360 ONE Centre, Mumbai, 400013, India"
3IINFOLTD.NS,3i Infotech Limited,NSI,Technology,in_market,INR,"Tower 2, Navi Mumbai, 400 706, India"
3MINDIA.NS,3M India Limited,NSI,Industrials,in_market,INR,"Marksquare, Bengaluru, 560001, India"
3PLAND.NS,3P Land Holdings Ltd,NSI,N/A,in_market,INR,
5PAISA.NS,5paisa Capital Limited,NSI,Financial Services,in_market,INR,"IIFL House, Sun Infotech Park, Thane, 400604, India"
63MOONS.NS,63 moons technologies limited,NSI,Technology,in_market,INR,"FT Tower, Mumbai, 400093, India"
A,"Agilent Technologies, Inc.",NYQ,Healthcare,us_market,USD,"5301 Stevens Creek Boulevard, Santa Clara, CA, 95051, United States"
A2ZINFRA.NS,A2Z Infra Engineering Limited,NSI,Industrials,in_market,INR,"Plot No. 58, Sector — 44, Gurugram, 122003, India"
AAATECH.NS,AAA Technologies Limited,NSI,Technology,in_market,INR,"278-280, F Wing, Solaris 1, Mumbai, 400072, India"
AADHARHFC.NS,AADHARHFC.NS,NSI,Financial Services,in_market,INR,"Natraj by Rustomjee, Mumbai, 400069, India"
AAKASH.NS,Aakash Exploration Services Limited,NSI,Energy,in_market,INR,"424-426, Shukan Mall, Ahmedabad, 380005, India"
AAPL,Apple Inc.,NMS,Technology,us_market,USD,"One Apple Park Way, Cupertino, CA, 95014, United States"
AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited,NSI,Healthcare,in_market,INR,"107, Sahakar Bhavan, Mumbai, 400009, India"
AARON.NS,Aaron Industries Limited,NSI,Industrials,in_market,INR,"B-65 & 66, Jawahar Road No. 4, Surat, 394210, India"
AARTECH.NS,Aartech Solonics Limited,NSI,Industrials,in_market,INR,"E-2/57, Ashirwad, Bhopal, 462016, India"
AARTIDRUGS.NS,Aarti Drugs Limited,NSI,Healthcare,in_market,INR,"Mahendra Industrial Estate, Mumbai, 400 022, India"
AARTIIND.NS,Aarti Industries Limited,NSI,Basic Materials,in_market,INR,"71, Udyog Kshetra, Mumbai, 400 080, India"
AARTIPHARM.NS,Aarti Pharmalabs Limited,NSI,Healthcare,in_market,INR,"204, Udyog Kshetra, Mumbai, 400080, India"
AARTISURF.NS,Aarti Surfactants Limited,NSI,Basic Materials,in_market,INR,"Unit 202, Udyog Kshetra, Mumbai, 400080, India"
AARVEEDEN.NS,Varvee Global Limited,NSI,Consumer Cyclical,in_market,INR,"191, Moje Shahwadi, Ahmedabad, 382405, India"
AARVI.NS,Aarvi Encon Limited,NSI,Industrials,in_market,INR,"Marathon Innova, Mumbai, 400013, India"
AAVAS.NS,Aavas Financiers Limited,NSI,Financial Services,in_market,INR,"201-202, Southend Square, Jaipur, 302020, India"
ABAN.NS,Aban Offshore Limited,NSI,Energy,in_market,INR,"Janpriya Crest, Chennai, 600008, India"
ABB.NS,ABB India Limited,NSI,Industrials,in_market,INR,"Plot No. 5 & 6, 2nd Stage, Bengaluru, 560058, India"
ABBOTINDIA.NS,Abbott India Limited,NSI,Healthcare,in_market,INR,"Godrej BKC, Bandra-Kurla Complex, Mumbai, 400 051, India"
ABBV,AbbVie Inc.,NYQ,Healthcare,us_market,USD,"1 North Waukegan Road, North Chicago, IL, 60064-6400, United States"
ABCAPITAL.NS,Aditya Birla Capital Limited,NSI,Financial Services,in_market,INR,"Tower 1, One World Centre, Mumbai, 400013, India"
ABDL.NS,ABDL.NS,NSI,Consumer Defensive,in_market,INR,"Ashford Centre, Mumbai, 400 013, India"
ABFRL.NS,Aditya Birla Fashion and Retail Limited,NSI,Consumer Cyclical,in_market,INR,"Piramal Agastya Corporate Park, Building ‘A’, Mumbai, 400070, India"
